date,price,ma_200,simplified_mvrv,mvrv_z_score,market_cap,hash_rate,rhodl_proxy,fear_greed_index
2025-02-27,83900.11496524839,,,,1705155152109.375,824457957.5047117,,10
2025-02-27,83900.11496524839,,,,1681704305093.75,824457957.5047117,,10
2025-02-28,84709.14477847965,,,,1680224997453.125,857436275.8049003,,16
2025-02-28,84709.14477847965,,,,1612433476500.0,857436275.8049003,,16
2025-02-28,84709.14477847965,,,,1568219537468.75,857436275.8049003,,16
2025-02-28,84709.14477847965,,,,1604853682890.625,857436275.8049003,,16
2025-02-28,84709.14477847965,,,,1661953234500.0,857436275.8049003,,16
2025-03-01,84441.9012237131,,,,1676576227578.125,791479639.2045234,,20
2025-03-01,84441.9012237131,,,,1709979005109.375,791479639.2045234,,20
2025-03-01,84441.9012237131,,,,1680657386718.75,791479639.2045234,,20
2025-03-01,84441.9012237131,,,,1696668835546.875,791479639.2045234,,20
2025-03-01,84441.9012237131,,,,1701793242421.875,791479639.2045234,,20
2025-03-02,86005.25629681018,,,,1717368659375.0,692544684.3039575,,26
2025-03-02,86005.25629681018,,,,1706529144203.125,692544684.3039575,,26
2025-03-02,86005.25629681018,,,,1712803881734.375,692544684.3039575,,26
2025-03-02,86005.25629681018,,,,1813574957031.25,692544684.3039575,,26
2025-03-03,94261.53286538439,,,,1873395098843.75,824457957.5047117,,33
2025-03-03,94261.53286538439,,,,1845382023453.125,824457957.5047117,,33
2025-03-03,94261.53286538439,,,,1827998425750.0,824457957.5047117,,33
2025-03-03,94261.53286538439,,,,1848294899546.875,824457957.5047117,,33
2025-03-03,94261.53286538439,,,,1734488954687.5,824457957.5047117,,33
2025-03-04,86124.71418722175,,,,1715022237468.75,802472411.9712528,,15
2025-03-04,86124.71418722175,,,,1666759294812.5,802472411.9712528,,15
2025-03-04,86124.71418722175,,,,1665557417171.875,802472411.9712528,,15
2025-03-04,86124.71418722175,,,,1645415803953.125,802472411.9712528,,15
2025-03-04,86124.71418722175,,,,1749324821718.75,802472411.9712528,,15
2025-03-05,87310.80531078295,,,,1726287889437.5,736515775.3708757,,20
2025-03-05,87310.80531078295,,,,1731135168375.0,736515775.3708757,,20
2025-03-05,87310.80531078295,,,,1796709751593.75,736515775.3708757,,20
